Username,TimeStamp,Text,Replies,Retweets,Likes,Sentiment
Sportskeeda,2024-05-27T15:06:37.000Z,"Do you agree with Kevin Pietersen that Virat Kohli should leave RCB and play for a different franchise to win the IPL trophy? 

#IPL2024 #ViratKohli #DelhiCapitals #CricketTwitter",56,22,308,0.8176
RCBIANS OFFICIAL,2024-05-23T12:04:25.000Z,"Do you agree with Kevin Pietersen that Virat Kohli should leave RCB and play for a different franchise to win the IPL trophy? 

#IPL2024 #ViratKohli #DelhiCapitals #CricketTwitter",56,22,308,0.8176
ESPNcricinfo,2024-05-28T04:23:49.000Z,"Do you agree with Kevin Pietersen that Virat Kohli should leave RCB and play for a different franchise to win the IPL trophy? 

#IPL2024 #ViratKohli #DelhiCapitals #CricketTwitter",56,22,308,0.8176
Kavya Maran,2024-05-26T19:19:57.000Z,"Nitish Reddy
@NitishKReddy
·
May 27
Emerging Player of the season 

This is the best birthday gift ever 

#KKRvsSRH #IPLFinal #IPL2024Congratulations Nitish Kumar Reddy on winning Emerging player of the season 
 Impressive performances throughout the tournament  #IPL2024 #IPLFinal",66,1.1K,33K,0.93
Himanshu Pareek,2024-05-25T11:08:03.000Z,"Congratulations Nitish Kumar Reddy on winning Emerging player of the season 
 Impressive performances throughout the tournament  #IPL2024 #IPLFinal",66,1.1K,33K,0.891
Polimer News,2024-05-22T02:48:55.000Z,"Congratulations Nitish Kumar Reddy on winning Emerging player of the season 
 Impressive performances throughout the tournament  #IPL2024 #IPLFinal",66,1.1K,33K,0.891
ESPNcricinfo,2024-05-26T04:50:03.000Z,"Congratulations Nitish Kumar Reddy on winning Emerging player of the season 
 Impressive performances throughout the tournament  #IPL2024 #IPLFinal",66,1.1K,33K,0.891
CricTracker,2024-05-27T12:51:46.000Z,"Congratulations Nitish Kumar Reddy on winning Emerging player of the season 
 Impressive performances throughout the tournament  #IPL2024 #IPLFinal",66,1.1K,33K,0.891
Sportskeeda,2024-05-26T17:23:43.000Z,"Remember the name '𝗦𝗛𝗥𝗘𝗬𝗔𝗦 𝗜𝗬𝗘𝗥' 

: Jio Cinema 

#ShreyasIyer #KKRvSRH #IPL2024",2,59,753,0.0
Sunil Narine,2024-05-26T19:47:44.000Z,"Remember the name '𝗦𝗛𝗥𝗘𝗬𝗔𝗦 𝗜𝗬𝗘𝗥' 

: Jio Cinema 

#ShreyasIyer #KKRvSRH #IPL2024",2,59,753,0.0
ESPNcricinfo,2024-05-27T13:29:03.000Z,"Remember the name '𝗦𝗛𝗥𝗘𝗬𝗔𝗦 𝗜𝗬𝗘𝗥' 

: Jio Cinema 

#ShreyasIyer #KKRvSRH #IPL2024",2,59,753,0.0
Dr C Vijayabaskar - Say No To Drugs & DMK,2024-05-26T18:26:57.000Z,"Remember the name '𝗦𝗛𝗥𝗘𝗬𝗔𝗦 𝗜𝗬𝗘𝗥' 

: Jio Cinema 

#ShreyasIyer #KKRvSRH #IPL2024",2,59,753,0.0
Cricbuzz,2024-05-25T13:19:12.000Z,"Remember the name '𝗦𝗛𝗥𝗘𝗬𝗔𝗦 𝗜𝗬𝗘𝗥' 

: Jio Cinema 

#ShreyasIyer #KKRvSRH #IPL2024",2,59,753,0.0
Farid Khan,2024-05-27T06:25:34.000Z,"Jay Shah has announced 25 Lac INR each for ground staff and curators of 10 regular IPL venues and 10 Lac INR each for additional 3 venues because of their hardworking attitude during IPL 

Heartwarming gesture by Mota bhai  
@JayShah
 #tapmad #HojaoADFree #IPL2024 #IPLFinal",23,18,486,0.4767
Sportskeeda,2024-05-26T04:01:46.000Z,"Jay Shah has announced 25 Lac INR each for ground staff and curators of 10 regular IPL venues and 10 Lac INR each for additional 3 venues because of their hardworking attitude during IPL 

Heartwarming gesture by Mota bhai  
@JayShah
 #tapmad #HojaoADFree #IPL2024 #IPLFinal",23,18,486,0.4767
Royal Challengers Bengaluru,2024-05-22T12:39:07.000Z,"Jay Shah has announced 25 Lac INR each for ground staff and curators of 10 regular IPL venues and 10 Lac INR each for additional 3 venues because of their hardworking attitude during IPL 

Heartwarming gesture by Mota bhai  
@JayShah
 #tapmad #HojaoADFree #IPL2024 #IPLFinal",23,18,486,0.4767
Farid Khan,2024-05-21T15:19:16.000Z,"Jay Shah has announced 25 Lac INR each for ground staff and curators of 10 regular IPL venues and 10 Lac INR each for additional 3 venues because of their hardworking attitude during IPL 

Heartwarming gesture by Mota bhai  
@JayShah
 #tapmad #HojaoADFree #IPL2024 #IPLFinal",23,18,486,0.4767
Royal Challengers Bengaluru,2024-05-22T14:33:29.000Z,"Jay Shah has announced 25 Lac INR each for ground staff and curators of 10 regular IPL venues and 10 Lac INR each for additional 3 venues because of their hardworking attitude during IPL 

Heartwarming gesture by Mota bhai  
@JayShah
 #tapmad #HojaoADFree #IPL2024 #IPLFinal",23,18,486,0.4767
Royal Challengers Bengaluru,2024-05-22T20:18:21.000Z,"Jay Shah has announced 25 Lac INR each for ground staff and curators of 10 regular IPL venues and 10 Lac INR each for additional 3 venues because of their hardworking attitude during IPL 

Heartwarming gesture by Mota bhai  
@JayShah
 #tapmad #HojaoADFree #IPL2024 #IPLFinal",23,18,486,0.4767
ESPNcricinfo,2024-05-24T03:00:03.000Z,"Qualifier 2 should be fun  

https://es.pn/4dUjMXL #SRHvRR #IPL2024",20,12,256,0.5106
SunRisers Hyderabad,2024-05-22T10:57:47.000Z,"Pat CumminsQualifier 2 should be fun  

https://es.pn/4dUjMXL #SRHvRR #IPL2024",20,12,256,0.5106
Royal Challengers Bengaluru,2024-05-22T15:57:11.000Z,"Qualifier 2 should be fun  

https://es.pn/4dUjMXL #SRHvRR #IPL2024",20,12,256,0.5106
Sportskeeda,2024-05-25T15:55:06.000Z,"Qualifier 2 should be fun  

https://es.pn/4dUjMXL #SRHvRR #IPL2024",20,12,256,0.5106
Royal Challengers Bengaluru,2024-04-12T11:47:28.000Z,"Qualifier 2 should be fun  

https://es.pn/4dUjMXL #SRHvRR #IPL2024",20,12,256,0.5106
Farid Khan,2024-05-26T18:37:03.000Z,"Most SIXES in the season by Abhishek Sharma. 42 maximums, what an exciting talent he is 

#IPLFinal #IPL2024 #tapmad #HojaoADFree",6,13,996,0.7184
Nikhil Naz,2024-05-26T19:09:33.000Z,"Most SIXES in the season by Abhishek Sharma. 42 maximums, what an exciting talent he is 

#IPLFinal #IPL2024 #tapmad #HojaoADFree",6,13,996,0.7184
Sport360°,2024-05-24T17:49:17.000Z,"Pat Cummins and 5 othersMost SIXES in the season by Abhishek Sharma. 42 maximums, what an exciting talent he is 

#IPLFinal #IPL2024 #tapmad #HojaoADFree",6,13,996,0.7184
Royal Challengers Bengaluru,2024-05-18T18:33:45.000Z,"Most SIXES in the season by Abhishek Sharma. 42 maximums, what an exciting talent he is 

#IPLFinal #IPL2024 #tapmad #HojaoADFree",6,13,996,0.7184
Royal Challengers Bengaluru,2024-05-18T21:23:46.000Z,"Most SIXES in the season by Abhishek Sharma. 42 maximums, what an exciting talent he is 

#IPLFinal #IPL2024 #tapmad #HojaoADFree",6,13,996,0.7184
Royal Challengers Bengaluru,2024-05-17T03:48:38.000Z,"The Interview you’ve all been waiting for is finally here. 

Mr. Nags meets Virat Kohli , cuts a cake  to celebrate the 10th year of 
@bigbasket_com
 presents RCB Insider Show and relives their friendship over the years.

#PlayBold #ನಮ್ಮRCB #IPL2024",197,1.9K,9.6K,0.5106
Royal Challengers Bengaluru,2024-04-29T15:53:25.000Z,"The Interview you’ve all been waiting for is finally here. 

Mr. Nags meets Virat Kohli , cuts a cake  to celebrate the 10th year of 
@bigbasket_com
 presents RCB Insider Show and relives their friendship over the years.

#PlayBold #ನಮ್ಮRCB #IPL2024",197,1.9K,9.6K,0.5106
Sportskeeda,2024-05-23T09:00:51.000Z,"The Interview you’ve all been waiting for is finally here. 

Mr. Nags meets Virat Kohli , cuts a cake  to celebrate the 10th year of 
@bigbasket_com
 presents RCB Insider Show and relives their friendship over the years.

#PlayBold #ನಮ್ಮRCB #IPL2024",197,1.9K,9.6K,0.5106
Royal Challengers Bengaluru,2024-04-15T17:54:17.000Z,"The Interview you’ve all been waiting for is finally here. 

Mr. Nags meets Virat Kohli , cuts a cake  to celebrate the 10th year of 
@bigbasket_com
 presents RCB Insider Show and relives their friendship over the years.

#PlayBold #ನಮ್ಮRCB #IPL2024",197,1.9K,9.6K,0.5106
RVCJ Sports,2024-05-22T17:58:13.000Z,"The Interview you’ve all been waiting for is finally here. 

Mr. Nags meets Virat Kohli , cuts a cake  to celebrate the 10th year of 
@bigbasket_com
 presents RCB Insider Show and relives their friendship over the years.

#PlayBold #ನಮ್ಮRCB #IPL2024",197,1.9K,9.6K,0.5106
Priyanka,2024-05-22T12:03:42.000Z,"आज का मैच कौन जीतेगा,,,  राजस्थान बनाम बंगलौर



सही जवाब देने वाले के लिए कुछ खास है 

#RRvsRCB #IPL2024 #hallabol ",64,16,106,0.0
Farid Khan,2024-05-22T09:03:00.000Z,"आज का मैच कौन जीतेगा,,,  राजस्थान बनाम बंगलौर



सही जवाब देने वाले के लिए कुछ खास है 

#RRvsRCB #IPL2024 #hallabol ",64,16,106,0.0
Suresh Balaji,2024-05-22T18:30:42.000Z,"0:23
From 
S Videosआज का मैच कौन जीतेगा,,,  राजस्थान बनाम बंगलौर



सही जवाब देने वाले के लिए कुछ खास है 

#RRvsRCB #IPL2024 #hallabol ",64,16,106,0.0
MNV Gowda,2024-05-22T12:36:04.000Z,"आज का मैच कौन जीतेगा,,,  राजस्थान बनाम बंगलौर



सही जवाब देने वाले के लिए कुछ खास है 

#RRvsRCB #IPL2024 #hallabol ",64,16,106,0.0
Dark Lord :),2024-05-23T05:06:35.000Z,"आज का मैच कौन जीतेगा,,,  राजस्थान बनाम बंगलौर



सही जवाब देने वाले के लिए कुछ खास है 

#RRvsRCB #IPL2024 #hallabol ",64,16,106,0.0
Tanay,2024-05-22T17:29:18.000Z,"आज का मैच कौन जीतेगा,,,  राजस्थान बनाम बंगलौर



सही जवाब देने वाले के लिए कुछ खास है 

#RRvsRCB #IPL2024 #hallabol ",64,16,106,0.0
RCBIANS OFFICIAL,2024-05-22T18:51:08.000Z,"From 
Mufaddal VohraDk got the guard of honour  

#RCBvsRR #RRvsRCB
#IPL2024 #Crickettwitter",1,82,882,0.5719
Team Shah Rukh Khan Fan Club,2024-05-22T01:02:30.000Z,"Dk got the guard of honour  

#RCBvsRR #RRvsRCB
#IPL2024 #Crickettwitter",1,82,882,0.5719
Female Cricket,2024-05-22T08:22:57.000Z,"Dk got the guard of honour  

#RCBvsRR #RRvsRCB
#IPL2024 #Crickettwitter",1,82,882,0.5719
Sportskeeda,2024-05-21T14:35:09.000Z,"Dk got the guard of honour  

#RCBvsRR #RRvsRCB
#IPL2024 #Crickettwitter",1,82,882,0.5719
Common Citizen,2024-05-22T18:34:06.000Z,"This media has been disabled in response to a report by the copyright owner.Dk got the guard of honour  

#RCBvsRR #RRvsRCB
#IPL2024 #Crickettwitter",1,82,882,0.5719
Prakash Mahadevan,2024-05-22T06:03:33.000Z,"From 
SivakumarMatch Day 

#RCBvsRR #IPL2024",3,50,253,0.0
Doctor X,2024-05-22T03:25:56.000Z,"This media has been disabled in response to a report by the copyright owner.Match Day 

#RCBvsRR #IPL2024",3,50,253,0.0
Radha,2024-05-22T17:04:04.000Z,"Match Day 

#RCBvsRR #IPL2024",3,50,253,0.0
kaushik,2024-05-22T13:38:33.000Z,"Match Day 

#RCBvsRR #IPL2024",3,50,253,0.0
Team Shah Rukh Khan Fan Club,2024-05-22T12:55:49.000Z,"Shah Rukh KhanMatch Day 

#RCBvsRR #IPL2024",3,50,253,0.0
Royal Challengers Bengaluru,2024-05-21T07:06:37.000Z,"Match Day 

#RCBvsRR #IPL2024",3,50,253,0.0
Shah Rukh Khan Universe Fan Club,2024-05-21T17:50:09.000Z,"King Khan himself leading the victory lap with Suhana and AbRam, after a spectacular win for KKR!  His smiles say it all 
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #SRHvsKKR #KKR  #IPL2024 #IPL #KingKhan",3,273,1.2K,0.8016
Sportskeeda,2024-05-22T09:42:18.000Z,"King Khan himself leading the victory lap with Suhana and AbRam, after a spectacular win for KKR!  His smiles say it all 
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #SRHvsKKR #KKR  #IPL2024 #IPL #KingKhan",3,273,1.2K,0.8016
Team Shah Rukh Khan Fan Club,2024-05-21T15:16:02.000Z,"King Khan himself leading the victory lap with Suhana and AbRam, after a spectacular win for KKR!  His smiles say it all 
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #SRHvsKKR #KKR  #IPL2024 #IPL #KingKhan",3,273,1.2K,0.8016
Farid Khan,2024-05-22T17:22:09.000Z,"King Khan himself leading the victory lap with Suhana and AbRam, after a spectacular win for KKR!  His smiles say it all 
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #SRHvsKKR #KKR  #IPL2024 #IPL #KingKhan",3,273,1.2K,0.8016
ESPNcricinfo,2024-05-22T07:56:20.000Z,"King Khan himself leading the victory lap with Suhana and AbRam, after a spectacular win for KKR!  His smiles say it all 
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #SRHvsKKR #KKR  #IPL2024 #IPL #KingKhan",3,273,1.2K,0.8016
Farid Khan,2024-05-21T17:23:19.000Z,"King Khan himself leading the victory lap with Suhana and AbRam, after a spectacular win for KKR!  His smiles say it all 
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #SRHvsKKR #KKR  #IPL2024 #IPL #KingKhan",3,273,1.2K,0.8016
Shah Rukh Khan Universe Fan Club,2024-05-21T10:33:51.000Z,"One team, Million emotions
Knight Riders are ready to rise up. Let's give our best and make it to the finals  
Cheer for our Knights 
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #SRHvsKKR #KKR  #IPL2024 #IPL #KingKhan #SRK #KorboLorboJeetbo",2,41,157,0.875
Farid Khan,2024-05-22T14:43:00.000Z,"One team, Million emotions
Knight Riders are ready to rise up. Let's give our best and make it to the finals  
Cheer for our Knights 
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #SRHvsKKR #KKR  #IPL2024 #IPL #KingKhan #SRK #KorboLorboJeetbo",2,41,157,0.875
Shah Rukh Khan Universe Fan Club,2024-05-21T18:44:35.000Z,"0:08One team, Million emotions
Knight Riders are ready to rise up. Let's give our best and make it to the finals  
Cheer for our Knights 
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #SRHvsKKR #KKR  #IPL2024 #IPL #KingKhan #SRK #KorboLorboJeetbo",2,41,157,0.875
JioCinema,2024-03-21T09:47:14.000Z,"One team, Million emotions
Knight Riders are ready to rise up. Let's give our best and make it to the finals  
Cheer for our Knights 
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #SRHvsKKR #KKR  #IPL2024 #IPL #KingKhan #SRK #KorboLorboJeetbo",2,41,157,0.875
Wisden India,2024-05-22T13:42:31.000Z,"All eyes are on King Kohli!

#RRvsRCB #IPL2024 #Cricket #IPLPlayoffs #SanjuSamson #ViratKohli",,26,500,0.0
Kiran Saran77,2024-05-22T11:21:01.000Z,"All eyes are on King Kohli!

#RRvsRCB #IPL2024 #Cricket #IPLPlayoffs #SanjuSamson #ViratKohli",,26,500,0.0
Suman Dudi,2024-05-22T11:48:28.000Z,"All eyes are on King Kohli!

#RRvsRCB #IPL2024 #Cricket #IPLPlayoffs #SanjuSamson #ViratKohli",,26,500,0.0
SHAH RUKH KHAN FANS ASSOCIATION,2024-05-22T09:49:34.000Z,"Shah Rukh Khan and KolkataKnightRidersAll eyes are on King Kohli!

#RRvsRCB #IPL2024 #Cricket #IPLPlayoffs #SanjuSamson #ViratKohli",,26,500,0.0
Stake.com,2024-05-21T08:06:00.000Z,"All eyes are on King Kohli!

#RRvsRCB #IPL2024 #Cricket #IPLPlayoffs #SanjuSamson #ViratKohli",,26,500,0.0
RCBIANS OFFICIAL,2024-05-22T10:41:56.000Z,"1
18
247
13KTeam #RCB on their way to stadium let's go boys 

#RRvsRCB #IPL2024 
#RCBvsRR #Crickettwitter 

 https://x.com/trend_vkohli/s/Trend_VKohli/status/1793220166282879245/video/1…",1,18,247,0.0
The Contest Guy,2024-05-22T05:09:35.000Z,"Team #RCB on their way to stadium let's go boys 

#RRvsRCB #IPL2024 
#RCBvsRR #Crickettwitter 

 https://x.com/trend_vkohli/s/Trend_VKohli/status/1793220166282879245/video/1…",1,18,247,0.0
SVF,2024-05-21T17:32:38.000Z,"Team #RCB on their way to stadium let's go boys 

#RRvsRCB #IPL2024 
#RCBvsRR #Crickettwitter 

 https://x.com/trend_vkohli/s/Trend_VKohli/status/1793220166282879245/video/1…",1,18,247,0.0
Dainik Bhaskar,2024-05-22T01:35:00.000Z,"Team #RCB on their way to stadium let's go boys 

#RRvsRCB #IPL2024 
#RCBvsRR #Crickettwitter 

 https://x.com/trend_vkohli/s/Trend_VKohli/status/1793220166282879245/video/1…",1,18,247,0.0
CSK Fans Army™,2024-05-22T05:28:24.000Z,"From 
IndianPremierLeagueTeam #RCB on their way to stadium let's go boys 

#RRvsRCB #IPL2024 
#RCBvsRR #Crickettwitter 

 https://x.com/trend_vkohli/s/Trend_VKohli/status/1793220166282879245/video/1…",1,18,247,0.0
Hindustan Times,2024-05-21T11:04:24.000Z,"#CrickIt | The countdown for the finals has begun! 

After 70 days of pulsating action in #IPL2024, we highlight the biggest strength, the one glaring weakness, and the X-factor for the #playoff teams.

Read more: https://hindustantimes.com/cricket/srhs-biggest-strength-major-rr-weakness-and-x-factors-of-rcb-and-kkr-swot-analysis-for-ipl-2024-playoff-teams-101716230830112.html…

via 
@CrickitbyHT
 | #KKR #SRH #RR #RCB",2,1,7,0.4753
Team Shah Rukh Khan Fan Club,2024-05-21T15:53:34.000Z,"#CrickIt | The countdown for the finals has begun! 

After 70 days of pulsating action in #IPL2024, we highlight the biggest strength, the one glaring weakness, and the X-factor for the #playoff teams.

Read more: https://hindustantimes.com/cricket/srhs-biggest-strength-major-rr-weakness-and-x-factors-of-rcb-and-kkr-swot-analysis-for-ipl-2024-playoff-teams-101716230830112.html…

via 
@CrickitbyHT
 | #KKR #SRH #RR #RCB",2,1,7,0.4753
AajTak,2024-05-22T10:16:03.000Z,"0:49#CrickIt | The countdown for the finals has begun! 

After 70 days of pulsating action in #IPL2024, we highlight the biggest strength, the one glaring weakness, and the X-factor for the #playoff teams.

Read more: https://hindustantimes.com/cricket/srhs-biggest-strength-major-rr-weakness-and-x-factors-of-rcb-and-kkr-swot-analysis-for-ipl-2024-playoff-teams-101716230830112.html…

via 
@CrickitbyHT
 | #KKR #SRH #RR #RCB",2,1,7,0.4753
SHAH RUKH KHAN FANS ASSOCIATION,2024-05-21T19:07:01.000Z,"Shah Rukh Khan and 2 others#CrickIt | The countdown for the finals has begun! 

After 70 days of pulsating action in #IPL2024, we highlight the biggest strength, the one glaring weakness, and the X-factor for the #playoff teams.

Read more: https://hindustantimes.com/cricket/srhs-biggest-strength-major-rr-weakness-and-x-factors-of-rcb-and-kkr-swot-analysis-for-ipl-2024-playoff-teams-101716230830112.html…

via 
@CrickitbyHT
 | #KKR #SRH #RR #RCB",2,1,7,0.4753
ESPNcricinfo,2024-05-21T17:15:24.000Z,"#CrickIt | The countdown for the finals has begun! 

After 70 days of pulsating action in #IPL2024, we highlight the biggest strength, the one glaring weakness, and the X-factor for the #playoff teams.

Read more: https://hindustantimes.com/cricket/srhs-biggest-strength-major-rr-weakness-and-x-factors-of-rcb-and-kkr-swot-analysis-for-ipl-2024-playoff-teams-101716230830112.html…

via 
@CrickitbyHT
 | #KKR #SRH #RR #RCB",2,1,7,0.4753
CricketNDTV,2024-05-21T16:05:00.000Z,"""Most heart-breaking photo of the day"": SRH batter Rahul Tripathi's distraught reaction after team's horror show vs KKR 

#RahulTripathi #IPL2024 #KKRvsSRH

https://sports.ndtv.com/ipl-2024/most-heart-breaking-photo-of-the-day-srh-batters-distraught-reaction-after-teams-horror-show-vs-kkr-5714955…",2,2,7,-0.8074
PuthiyathalaimuraiTV,2024-05-21T12:11:16.000Z,"""Most heart-breaking photo of the day"": SRH batter Rahul Tripathi's distraught reaction after team's horror show vs KKR 

#RahulTripathi #IPL2024 #KKRvsSRH

https://sports.ndtv.com/ipl-2024/most-heart-breaking-photo-of-the-day-srh-batters-distraught-reaction-after-teams-horror-show-vs-kkr-5714955…",2,2,7,-0.8074
Sun News,2024-05-22T09:35:46.000Z,"""Most heart-breaking photo of the day"": SRH batter Rahul Tripathi's distraught reaction after team's horror show vs KKR 

#RahulTripathi #IPL2024 #KKRvsSRH

https://sports.ndtv.com/ipl-2024/most-heart-breaking-photo-of-the-day-srh-batters-distraught-reaction-after-teams-horror-show-vs-kkr-5714955…",2,2,7,-0.8074
ESPNcricinfo,2024-05-22T04:15:20.000Z,"""Most heart-breaking photo of the day"": SRH batter Rahul Tripathi's distraught reaction after team's horror show vs KKR 

#RahulTripathi #IPL2024 #KKRvsSRH

https://sports.ndtv.com/ipl-2024/most-heart-breaking-photo-of-the-day-srh-batters-distraught-reaction-after-teams-horror-show-vs-kkr-5714955…",2,2,7,-0.8074
Shah Rukh Khan Universe Fan Club,2024-05-21T19:17:35.000Z,"""Most heart-breaking photo of the day"": SRH batter Rahul Tripathi's distraught reaction after team's horror show vs KKR 

#RahulTripathi #IPL2024 #KKRvsSRH

https://sports.ndtv.com/ipl-2024/most-heart-breaking-photo-of-the-day-srh-batters-distraught-reaction-after-teams-horror-show-vs-kkr-5714955…",2,2,7,-0.8074
CricTracker,2024-05-21T17:25:44.000Z,Pick your #IPL2024 finalists ,7,7,195,0.0
CricketNDTV,2024-05-22T06:27:42.000Z,Pick your #IPL2024 finalists ,7,7,195,0.0
Shah Rukh Khan Universe Fan Club,2024-05-21T18:04:46.000Z,0:07Pick your #IPL2024 finalists ,7,7,195,0.0
CricTracker,2024-05-21T16:17:42.000Z,Pick your #IPL2024 finalists ,7,7,195,0.0
ಸನತ್ ಕುಮಾರ್,2024-05-22T03:50:50.000Z,Pick your #IPL2024 finalists ,7,7,195,0.0
Movies4u,2024-05-21T15:17:21.000Z,Nice impact raa Sanvir #IPL2024,1,2,88,0.4215
CCL,2024-05-21T13:47:08.000Z,Nice impact raa Sanvir #IPL2024,1,2,88,0.4215
Dinda Academy,2024-05-21T13:11:41.000Z,Nice impact raa Sanvir #IPL2024,1,2,88,0.4215
Vaibhav,2024-05-21T17:30:55.000Z,"From 
S U B H A N K A R 𓀠Nice impact raa Sanvir #IPL2024",1,2,88,0.0
ABP Ananda,2024-05-21T14:28:06.000Z,Nice impact raa Sanvir #IPL2024,1,2,88,0.4215
Gujarat Samachar,2024-05-21T17:20:55.000Z,"IPL 2024 : કોલકાતાની ફાઈનલમાં એન્ટ્રી, ક્વોલિફાયર-1માં હૈદરાબાદને હરાવ્યું

#IPL2024 #KKRvsSRH",,1,21,0.0
DNA,2024-05-21T12:35:04.000Z,"IPL 2024 : કોલકાતાની ફાઈનલમાં એન્ટ્રી, ક્વોલિફાયર-1માં હૈદરાબાદને હરાવ્યું

#IPL2024 #KKRvsSRH",,1,21,0.0
muzamilasif,2024-05-21T14:34:35.000Z,"IPL 2024 : કોલકાતાની ફાઈનલમાં એન્ટ્રી, ક્વોલિફાયર-1માં હૈદરાબાદને હરાવ્યું

#IPL2024 #KKRvsSRH",,1,21,0.0
News7 Tamil,2024-05-21T15:27:26.000Z,"IPL 2024 : કોલકાતાની ફાઈનલમાં એન્ટ્રી, ક્વોલિફાયર-1માં હૈદરાબાદને હરાવ્યું

#IPL2024 #KKRvsSRH",,1,21,0.0
DNA,2024-05-21T12:35:04.000Z,"#DNAWebStories | Batters to hit longest sixes in #IPL2024

Take a look: https://dnaindia.com/web-stories/sports/ipl/batters-with-most-ducks-in-ipl-history-ms-dhoni-1716291544557…",,1,4,0.0
muzamilasif,2024-05-21T14:34:35.000Z,"#DNAWebStories | Batters to hit longest sixes in #IPL2024

Take a look: https://dnaindia.com/web-stories/sports/ipl/batters-with-most-ducks-in-ipl-history-ms-dhoni-1716291544557…",,1,4,0.0
News7 Tamil,2024-05-21T15:27:26.000Z,"#DNAWebStories | Batters to hit longest sixes in #IPL2024

Take a look: https://dnaindia.com/web-stories/sports/ipl/batters-with-most-ducks-in-ipl-history-ms-dhoni-1716291544557…",,1,4,0.0
Pradeep™,2024-05-21T15:04:55.000Z,"#DNAWebStories | Batters to hit longest sixes in #IPL2024

Take a look: https://dnaindia.com/web-stories/sports/ipl/batters-with-most-ducks-in-ipl-history-ms-dhoni-1716291544557…",,1,4,0.0
cute pig 𓃟,2024-05-21T13:01:45.000Z,"#DNAWebStories | Batters to hit longest sixes in #IPL2024

Take a look: https://dnaindia.com/web-stories/sports/ipl/batters-with-most-ducks-in-ipl-history-ms-dhoni-1716291544557…",,1,4,0.0
MuseVerse,2024-05-21T17:26:46.000Z,"#DNAWebStories | Batters to hit longest sixes in #IPL2024

Take a look: https://dnaindia.com/web-stories/sports/ipl/batters-with-most-ducks-in-ipl-history-ms-dhoni-1716291544557…",,1,4,0.0
Devanshi Tiwari,2024-05-21T17:32:48.000Z,"चीते की चाल,बाज की नजर और ब्राह्मण पुत्र अय्यर की कप्तानी पर शक नहीं करते.

बीते वर्ल्ड कप में श्रेयस की पारी आप लोगो ने देखी होगी,एक से बढ़ कर एक परियां इन्होंने खेली है,

पण्डित श्रेयस अय्यर तथा सम्पूर्ण KKR टीम को #IPL2024 के फाइनल में पहुंचने की हार्दिक शुभकामनाएं
#KKRvsSRH",4,7,27,0.0
chintubaba,2024-05-21T16:56:07.000Z,"चीते की चाल,बाज की नजर और ब्राह्मण पुत्र अय्यर की कप्तानी पर शक नहीं करते.

बीते वर्ल्ड कप में श्रेयस की पारी आप लोगो ने देखी होगी,एक से बढ़ कर एक परियां इन्होंने खेली है,

पण्डित श्रेयस अय्यर तथा सम्पूर्ण KKR टीम को #IPL2024 के फाइनल में पहुंचने की हार्दिक शुभकामनाएं
#KKRvsSRH",4,7,27,0.0
CricWatcher,2024-05-21T14:05:46.000Z,"0:30
From 
Rebellious Knightचीते की चाल,बाज की नजर और ब्राह्मण पुत्र अय्यर की कप्तानी पर शक नहीं करते.

बीते वर्ल्ड कप में श्रेयस की पारी आप लोगो ने देखी होगी,एक से बढ़ कर एक परियां इन्होंने खेली है,

पण्डित श्रेयस अय्यर तथा सम्पूर्ण KKR टीम को #IPL2024 के फाइनल में पहुंचने की हार्दिक शुभकामनाएं
#KKRvsSRH",4,7,27,-0.296
Sama Umair,2024-05-21T17:23:09.000Z,"चीते की चाल,बाज की नजर और ब्राह्मण पुत्र अय्यर की कप्तानी पर शक नहीं करते.

बीते वर्ल्ड कप में श्रेयस की पारी आप लोगो ने देखी होगी,एक से बढ़ कर एक परियां इन्होंने खेली है,

पण्डित श्रेयस अय्यर तथा सम्पूर्ण KKR टीम को #IPL2024 के फाइनल में पहुंचने की हार्दिक शुभकामनाएं
#KKRvsSRH",4,7,27,0.0
Thanthi TV,2024-05-21T13:59:16.000Z,"चीते की चाल,बाज की नजर और ब्राह्मण पुत्र अय्यर की कप्तानी पर शक नहीं करते.

बीते वर्ल्ड कप में श्रेयस की पारी आप लोगो ने देखी होगी,एक से बढ़ कर एक परियां इन्होंने खेली है,

पण्डित श्रेयस अय्यर तथा सम्पूर्ण KKR टीम को #IPL2024 के फाइनल में पहुंचने की हार्दिक शुभकामनाएं
#KKRvsSRH",4,7,27,0.0
